AblakNev;GombNev;Tulajdonsag;Ertek;Reláció
Ablak_alap_program_egyéb;SAPRögzít;Visible;true;_;
Ablak_alap_program_egyéb;SAPTöröl;Visible;true;_;
Ablak_alap_program_egyéb;OsztályRögzít;Visible;true;_;
Ablak_alap_program_egyéb;Tak_Ár_rögzítés;Visible;false;_;
Ablak_alap_program_egyéb;Button4;Visible;false;_;
Ablak_alap_program_egyéb;Mátrix_rögzít;Visible;false;_;
Ablak_alap_program_egyéb;Adatok_beolvasása;Visible;false;_;
Ablak_alap_program_kiadás;BtnIszolgálat;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnIIszolgálat;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnIIIszolgálat;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnMreggel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnMdélután;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnMeste;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnHreggel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnHdélután;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnHeste;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;Korrekció_kiadási_rögzít;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnForteVonaltöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnForteVonalOk;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnReklámméretTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnReklámméretOk;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnFőkategóriaOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnFőkategóriaTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnFőkategóriaFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgálatOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgálatTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgálatFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTelephelyekOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTelephelyekTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTelephelyekFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgtelepOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgtelepTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnSzolgtelepFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTípusAltípusOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTípusAltípusTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnTípusAltípusFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnFőforteOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnFőforteTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnKapcsolatOK;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnKapcsolatTöröl;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnKapcsolatFel;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;BtnForte;Visible;false;Főmérnökség;
Ablak_alap_program_kiadás;BtnSAPmunkahely;Visible;false;Főmérnökség;
Ablak_alap_program_kiadás;Rögzít_göngyölés;Visible;false;Főmérnökség;
Ablak_alap_program_kiadás;E2_vizsgálat;Visible;false;Főmérnökség;
Ablak_alap_program_kiadás;Telep_Rögzít;Visible;true;Főmérnökség;
Ablak_alap_program_kiadás;Telep_Töröl;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Feljebb;Visible;true;Főmérnökség;
Ablak_alap_program_személy;FrissítMunkakör;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Command1;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Command4;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Feortörlés;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Command5;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Command3;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Command9;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Munka_Rögzít;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Védő_rögzít;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Gond_rögzít;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Gond_töröl;Visible;true;Főmérnökség;
Ablak_alap_program_személy;Szerszám_OK;Visible;true;Főmérnökség;
Ablak_Ciklus;Töröl;Visible;true;Főmérnökség;
Ablak_Ciklus;Rögzít;Visible;true;Főmérnökség;
Ablak_Ciklus;CsoportosMásolás;Visible;true;Főmérnökség;
Ablak_Ciklus;CiklusSorrend;Visible;true;Főmérnökség;
Ablak_technológia;Beviteli_táblakészítés;Visible;true;Főmérnökség;
Ablak_technológia;Adatok_beolvasása;Visible;true;Főmérnökség;
Ablak_technológia;Adat_Módosítás;Visible;true;Főmérnökség;
Ablak_technológia;Sor_beszúrás;Visible;true;Főmérnökség;
Ablak_technológia;Sor_törlés;Visible;true;Főmérnökség;
Ablak_technológia;CsoportosBefejezés;Visible;true;Főmérnökség;
Ablak_technológia;Típus_Rögzítés;Visible;true;Főmérnökség;
Ablak_technológia;Ciklus_rögzít;Visible;true;Főmérnökség;
Ablak_technológia;Ciklus_Törlés;Visible;true;Főmérnökség;
Ablak_technológia;//Kivétel_Rögzít;Visible;true;Főmérnökség;
Ablak_technológia;//Kivétel_töröl;Visible;true;Főmérnökség;
Ablak_technológia;Típusok_rögzítése;Visible;true;Főmérnökség;
Ablak_technológia;Törlés_JTípus;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_BeoKód_Új;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_BeoKód_OK;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_BeoKód_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_Keret_Új;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_Keret_OK;Visible;true;Főmérnökség;
Ablak_Váltós;Tábla_Keret_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Éves_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Éves_Új;Visible;true;Főmérnökség;
Ablak_Váltós;Éves_Ok;Visible;true;Főmérnökség;
Ablak_Váltós;Éves_Generál;Visible;true;Főmérnökség;
Ablak_Váltós;CsopVez_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;CsopVez_Ok;Visible;true;Főmérnökség;
Ablak_Váltós;VáltMunka_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;VáltMunka_Feljebb;Visible;true;Főmérnökség;
Ablak_Váltós;VáltMunka_OK;Visible;true;Főmérnökség;
Ablak_Váltós;VáltMunka_Új;Visible;true;Főmérnökség;
Ablak_Váltós;Éjszaka_ÚJ;Visible;true;Főmérnökség;
Ablak_Váltós;Éjszaka_Ok;Visible;true;Főmérnökség;
Ablak_Váltós;Éjszaka_Feljebb;Visible;true;Főmérnökség;
Ablak_Váltós;Éjszaka_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Turnus_Ok;Visible;true;Főmérnökség;
Ablak_Váltós;Turnus_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Csoport_OK;Visible;true;Főmérnökség;
Ablak_Váltós;Csoport_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;MunkaRend_OK;Visible;true;Főmérnökség;
Ablak_Váltós;MunkaRend_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Elvont_OK;Visible;true;Főmérnökség;
Ablak_Váltós;Elvont_Új;Visible;true;Főmérnökség;
Ablak_Váltós;Elvont_Töröl;Visible;true;Főmérnökség;
Ablak_Váltós;Elvont_Generált;Visible;true;Főmérnökség;
Ablak_Váltós;Nappal_Ok;Visible;true;Főmérnökség;
Ablak_Váltós;Panel5;Enabled;true;Főmérnökség;
Ablak_Váltós;Panel4;Enabled;true;Főmérnökség;
Ablak_Utasítás;btnVisszavon;Enabled;true;Főmérnökség;
Ablak_Karbantartási_Munkalapok;CHKMinta;Visible;true;Főmérnökség;
Ablak_Eszterga_Segéd;Terv_Rögzít;Visible;true;Főmérnökség;
Ablak_Eszterga_Segéd;Töröl;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Elkészült;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Visszaállítás;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Terjesztési;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;BeosztásAdatok;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Esztergályosok;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Választék_Lista;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Heti_terv_küldés;Visible;true;Főmérnökség;
Ablak_KerékEszterga_Ütemezés;Heti_jelentés;Visible;true;Főmérnökség;
Ablak_keréknyilvántartás;Panel5;Visible;true;Főmérnökség;
Ablak_MEO_kerék;Btn_Jog_Torles;Visible;true;Főmérnökség;
